# Add info here for slot controlled events
# format: [CID],[CTOT]
1880672,1037
1614797,1040
1556382,1043
1898371,1046
817090,1049
1833378,1052
1864641,1055
1439732,1058
1530142,1101
1743849,1104
1653337,1107
1902320,1110
1813245,1113
1710773,1116
1634627,1119
1847836,1122
1517204,1125
1872742,1128
1309499,1131
1547508,1134
1329795,1137
1744316,1140
1602851,1143
1891257,1146
1398632,1149
1493386,1152
1823462,1155
1626594,1158
1228052,1201
1936110,1204
1502871,1207
1483012,1210
1543930,1213
1406686,1216
1769168,1219
1820737,1222
1733769,1225
1377802,1228
1547650,1231
1836478,1234
1683089,1237
1900866,1240
1580060,1243
1432991,1246
1577482,1249
1780035,1252
1859918,1255
1412811,1258
908530,1301
1558038,1304
1611162,1307
1586880,1310
1398426,1313
1726410,1316
1615078,1319
1310208,1322
1901705,1325
1677036,1328
1608650,1331
