# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# EGBB
EGBB,15,COWLY,COWLY,2
EGBB,15,COWLY,CPT,2
EGBB,15,COWLY,DTY,2
EGBB,15,COWLY,LUVUM,2
EGBB,15,COWLY,LUXTO,2
EGBB,15,COWLY,MOSUN,2
EGBB,15,CPT,COWLY,2
EGBB,15,CPT,CPT,2
EGBB,15,CPT,DTY,2
EGBB,15,CPT,LUVUM,2
EGBB,15,CPT,LUXTO,2
EGBB,15,CPT,MOSUN,2
EGBB,15,DTY,COWLY,2
EGBB,15,DTY,CPT,2
EGBB,15,DTY,DTY,2
EGBB,15,DTY,LUVUM,2
EGBB,15,DTY,LUXTO,2
EGBB,15,DTY,MOSUN,2
EGBB,15,LUVUM,COWLY,2
EGBB,15,LUVUM,CPT,2
EGBB,15,LUVUM,DTY,2
EGBB,15,LUVUM,LUVUM,2
EGBB,15,LUVUM,LUXTO,2
EGBB,15,LUVUM,MOSUN,2
EGBB,15,LUXTO,COWLY,2
EGBB,15,LUXTO,CPT,2
EGBB,15,LUXTO,DTY,2
EGBB,15,LUXTO,LUVUM,2
EGBB,15,LUXTO,LUXTO,2
EGBB,15,LUXTO,MOSUN,2
EGBB,15,MOSUN,COWLY,2
EGBB,15,MOSUN,CPT,2
EGBB,15,MOSUN,DTY,2
EGBB,15,MOSUN,LUVUM,2
EGBB,15,MOSUN,LUXTO,2
EGBB,15,MOSUN,MOSUN,2
EGBB,33,ADMEX,ADMEX,2
EGBB,33,ADMEX,BRUMI,2
EGBB,33,ADMEX,LUVUM,2
EGBB,33,ADMEX,UNGAP,2
EGBB,33,BRUMI,ADMEX,2
EGBB,33,BRUMI,BRUMI,2
EGBB,33,BRUMI,LUVUM,2
EGBB,33,BRUMI,UNGAP,2
EGBB,33,LUVUM,ADMEX,2
EGBB,33,LUVUM,BRUMI,2
EGBB,33,LUVUM,LUVUM,2
EGBB,33,LUVUM,UNGAP,2
EGBB,33,UNGAP,ADMEX,2
EGBB,33,UNGAP,BRUMI,2
EGBB,33,UNGAP,LUVUM,2
EGBB,33,UNGAP,UNGAP,2

# EGCC
EGCC,05L,ASMIM,ASMIM,2
EGCC,05L,ASMIM,DESIG,1
EGCC,05L,ASMIM,LISTO,1
EGCC,05L,ASMIM,POL,1
EGCC,05L,DESIG,ASMIM,1
EGCC,05L,DESIG,DESIG,2
EGCC,05L,DESIG,LISTO,1
EGCC,05L,DESIG,POL,2
EGCC,05L,LISTO,ASMIM,1
EGCC,05L,LISTO,DESIG,1
EGCC,05L,LISTO,LISTO,2
EGCC,05L,LISTO,POL,1
EGCC,05L,POL,ASMIM,1
EGCC,05L,POL,DESIG,2
EGCC,05L,POL,LISTO,1
EGCC,05L,POL,POL,2
EGCC,05R,ASMIM,ASMIM,2
EGCC,05R,ASMIM,DESIG,1
EGCC,05R,ASMIM,LISTO,1
EGCC,05R,ASMIM,POL,1
EGCC,05R,DESIG,ASMIM,1
EGCC,05R,DESIG,DESIG,2
EGCC,05R,DESIG,LISTO,1
EGCC,05R,DESIG,POL,2
EGCC,05R,LISTO,ASMIM,1
EGCC,05R,LISTO,DESIG,1
EGCC,05R,LISTO,LISTO,2
EGCC,05R,LISTO,POL,1
EGCC,05R,POL,ASMIM,1
EGCC,05R,POL,DESIG,2
EGCC,05R,POL,LISTO,1
EGCC,05R,POL,POL,2
EGCC,23L,EKLAD,EKLAD,2
EGCC,23L,EKLAD,KUXEM,2
EGCC,23L,EKLAD,LISTO,1
EGCC,23L,EKLAD,POL,1
EGCC,23L,EKLAD,SANBA,2
EGCC,23L,EKLAD,SONEX,1
EGCC,23L,KUXEM,EKLAD,2
EGCC,23L,KUXEM,KUXEM,2
EGCC,23L,KUXEM,LISTO,1
EGCC,23L,KUXEM,POL,1
EGCC,23L,KUXEM,SANBA,2
EGCC,23L,KUXEM,SONEX,1
EGCC,23L,LISTO,EKLAD,1
EGCC,23L,LISTO,KUXEM,1
EGCC,23L,LISTO,LISTO,2
EGCC,23L,LISTO,POL,1
EGCC,23L,LISTO,SANBA,2
EGCC,23L,LISTO,SONEX,1
EGCC,23L,POL,EKLAD,1
EGCC,23L,POL,KUXEM,1
EGCC,23L,POL,LISTO,1
EGCC,23L,POL,POL,2
EGCC,23L,POL,SANBA,1
EGCC,23L,POL,SONEX,2
EGCC,23L,SANBA,EKLAD,2
EGCC,23L,SANBA,KUXEM,2
EGCC,23L,SANBA,LISTO,2
EGCC,23L,SANBA,POL,1
EGCC,23L,SANBA,SANBA,2
EGCC,23L,SANBA,SONEX,1
EGCC,23L,SONEX,EKLAD,1
EGCC,23L,SONEX,KUXEM,1
EGCC,23L,SONEX,LISTO,1
EGCC,23L,SONEX,POL,2
EGCC,23L,SONEX,SANBA,1
EGCC,23L,SONEX,SONEX,2
EGCC,23R,EKLAD,EKLAD,2
EGCC,23R,EKLAD,KUXEM,2
EGCC,23R,EKLAD,LISTO,1
EGCC,23R,EKLAD,POL,1
EGCC,23R,EKLAD,SANBA,2
EGCC,23R,EKLAD,SONEX,1
EGCC,23R,KUXEM,EKLAD,2
EGCC,23R,KUXEM,KUXEM,2
EGCC,23R,KUXEM,LISTO,1
EGCC,23R,KUXEM,POL,1
EGCC,23R,KUXEM,SANBA,2
EGCC,23R,KUXEM,SONEX,1
EGCC,23R,LISTO,EKLAD,1
EGCC,23R,LISTO,KUXEM,1
EGCC,23R,LISTO,LISTO,2
EGCC,23R,LISTO,POL,1
EGCC,23R,LISTO,SANBA,2
EGCC,23R,LISTO,SONEX,1
EGCC,23R,POL,EKLAD,1
EGCC,23R,POL,KUXEM,1
EGCC,23R,POL,LISTO,1
EGCC,23R,POL,POL,2
EGCC,23R,POL,SANBA,1
EGCC,23R,POL,SONEX,2
EGCC,23R,SANBA,EKLAD,2
EGCC,23R,SANBA,KUXEM,2
EGCC,23R,SANBA,LISTO,2
EGCC,23R,SANBA,POL,1
EGCC,23R,SANBA,SANBA,2
EGCC,23R,SANBA,SONEX,1
EGCC,23R,SONEX,EKLAD,1
EGCC,23R,SONEX,KUXEM,1
EGCC,23R,SONEX,LISTO,1
EGCC,23R,SONEX,POL,2
EGCC,23R,SONEX,SANBA,1
EGCC,23R,SONEX,SONEX,2

# EGFF
EGFF,12,BCN,BCN,2
EGFF,12,BCN,EXMOR,1
EGFF,12,BCN,LECKI,2
EGFF,12,EXMOR,BCN,1
EGFF,12,EXMOR,EXMOR,2
